Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2021,"Steven Matz","TOR",150.2,647,8.60176991,2.56858407,3.34883721,1.07522124,0.22256569,0.06646059,0.1561051,0.26465662,1.3340708,0.32110092,0.75357536,3.786657045883789,3.943351529508322,13361
2021,"Dylan Floro","MIA",64,270,8.71875,3.515625,2.48,0.28125,0.22962963,0.09259259,0.13703704,0.21721311,1.21875,0.28176796,0.70478723,2.8100254058837892,3.9476627789437773,13394
2021,"Marcus Stroman","NYM",179,730,7.94413408,2.2122905,3.59090909,0.8547486,0.21643836,0.06027397,0.15616439,0.24210526,1.1452514,0.28571429,0.75451647,3.493422755883789,3.5697963874766283,13431
2021,"Pierce Johnson","SDP",58.2,244,11.8125,4.14204545,2.85185185,0.92045455,0.31557377,0.11065574,0.20491803,0.21962617,1.26136364,0.30827068,0.81081081,3.3057640458837887,3.780762270464623,13435
2021,"Daniel Norris","2 Tms",57,248,9.15789474,4.73684211,1.93333333,1.42105263,0.23387097,0.12096774,0.11290323,0.25581395,1.49122807,0.30872483,0.61827957,4.871154795883789,4.273414571975406,13475
2021,"Blake Snell","SDP",128.2,550,11.89119171,4.82642487,2.46376812,1.11917098,0.30909091,0.12545455,0.18363636,0.21398305,1.32124352,0.29109589,0.7436919,3.822250145883789,3.7415577925400427,13543
2021,"Richard Rodriguez","2 Tms",64.1,251,5.87564767,1.39896373,4.2,1.11917098,0.16733068,0.03984064,0.12749004,0.20920502,0.93264249,0.22222222,0.80708661,4.0398667258837895,5.357929476328827,13549
2021,"Clay Holmes","2 Tms",70,292,10.02857143,3.72857143,2.68965517,0.64285714,0.26712329,0.09931507,0.16780822,0.20622568,1.17142857,0.27272727,0.6835443,3.283686115883789,3.161717074257987,13649
2021,"John Gant","2 Tms",110,491,7.52727273,5.80909091,1.29577465,0.81818182,0.18737271,0.14460285,0.04276986,0.23284314,1.50909091,0.2724359,0.73417722,4.778491315883789,5.072388855977492,13684
2021,"Max Fried","ATL",165.2,667,8.58350101,2.22736419,3.85365854,0.81488934,0.23688156,0.06146927,0.17541229,0.22712418,1.08651911,0.27802691,0.75903614,3.3082334058837892,3.4518404237644313,13743
